dataset,poison_ratio,method,n_poison,asr_mean,asr_std,f1_mean,f1_std,fpr_mean,fpr_std
scifact,0.01,no_defense,50,1.0,0.0,0.0,0.0,0.0,0.0
scifact,0.01,viper,50,0.613,0.034,0.079,0.005,0.093,0.001
scifact,0.05,no_defense,250,1.0,0.0,0.0,0.0,0.0,0.0
scifact,0.05,viper,250,0.0,0.0,0.544,0.002,0.084,0.001
scifact,0.1,no_defense,500,1.0,0.0,0.0,0.0,0.0,0.0
scifact,0.1,viper,500,0.0,0.0,0.73,0.004,0.074,0.001
scifact,0.2,no_defense,1000,1.0,0.0,0.0,0.0,0.0,0.0
scifact,0.2,viper,1000,0.0,0.0,0.877,0.001,0.056,0.0
scifact,0.3,no_defense,1500,1.0,0.0,0.0,0.0,0.0,0.0
scifact,0.3,viper,1500,0.0,0.0,0.922,0.0,0.051,0.0
nfcorpus,0.01,no_defense,35,1.0,0.0,0.0,0.0,0.0,0.0
nfcorpus,0.01,viper,35,0.314,0.0,0.127,0.003,0.098,0.001
nfcorpus,0.05,no_defense,175,1.0,0.0,0.0,0.0,0.0,0.0
nfcorpus,0.05,viper,175,0.08,0.017,0.56,0.005,0.073,0.001
nfcorpus,0.1,no_defense,350,1.0,0.0,0.0,0.0,0.0,0.0
nfcorpus,0.1,viper,350,0.0,0.0,0.792,0.002,0.053,0.001
nfcorpus,0.2,no_defense,700,1.0,0.0,0.0,0.0,0.0,0.0
nfcorpus,0.2,viper,700,0.0,0.0,0.92,0.001,0.035,0.001
nfcorpus,0.3,no_defense,1050,1.0,0.0,0.0,0.0,0.0,0.0
nfcorpus,0.3,viper,1050,0.0,0.0,0.951,0.001,0.031,0.001
