dataset,threshold,asr_mean,asr_std,f1_mean,f1_std,fpr_mean,fpr_std,precision_mean,precision_std,recall_mean,recall_std
scifact,0.5,0.0,0.0,0.695,0.02,0.044,0.004,0.533,0.024,1.0,0.0
scifact,0.55,0.0,0.0,0.808,0.018,0.024,0.003,0.678,0.026,1.0,0.0
scifact,0.6,0.0,0.0,0.905,0.008,0.011,0.001,0.826,0.013,1.0,0.0
scifact,0.65,0.0,0.0,0.954,0.004,0.005,0.0,0.912,0.008,1.0,0.0
scifact,0.7,0.0,0.0,0.984,0.005,0.002,0.001,0.969,0.011,1.0,0.0
scifact,0.75,0.0,0.0,0.992,0.003,0.001,0.0,0.984,0.006,1.0,0.0
scifact,0.8,0.0,0.0,0.997,0.002,0.0,0.0,0.995,0.004,1.0,0.0
scifact,0.85,0.0,0.0,0.999,0.002,0.0,0.0,0.997,0.004,1.0,0.0
scifact,0.9,0.008,0.007,0.996,0.003,0.0,0.0,1.0,0.0,0.992,0.007
nfcorpus,0.5,0.255,0.01,0.258,0.001,0.245,0.001,0.151,0.001,0.874,0.008
nfcorpus,0.55,0.251,0.014,0.318,0.006,0.18,0.003,0.195,0.004,0.87,0.007
nfcorpus,0.6,0.253,0.026,0.401,0.003,0.123,0.001,0.26,0.003,0.869,0.005
nfcorpus,0.65,0.261,0.022,0.497,0.007,0.08,0.002,0.35,0.006,0.861,0.005
nfcorpus,0.7,0.269,0.032,0.599,0.004,0.05,0.001,0.461,0.005,0.857,0.0
nfcorpus,0.75,0.269,0.032,0.675,0.006,0.034,0.001,0.556,0.008,0.857,0.0
nfcorpus,0.8,0.261,0.03,0.726,0.009,0.025,0.001,0.631,0.013,0.857,0.0
nfcorpus,0.85,0.257,0.032,0.777,0.002,0.018,0.0,0.71,0.003,0.857,0.0
nfcorpus,0.9,0.253,0.035,0.817,0.006,0.012,0.001,0.781,0.012,0.857,0.0
