attack_type,method,asr_mean,asr_std,f1_mean,f1_std,fpr_mean,fpr_std
standard,no_defense,1.0,0.0,0.0,0.0,0.0,0.0
standard,viper,0.0,0.0,0.5436860896287571,0.0024269475010286453,0.08393333333333335,0.0008219218670625312
gaussian,no_defense,1.0,0.0,0.0,0.0,0.0,0.0
gaussian,viper,0.0,0.0,0.5983386354621395,0.0028932375001974693,0.06713333333333334,0.0008055363982396352
cluster_mimic,no_defense,1.0,0.0,0.0,0.0,0.0,0.0
cluster_mimic,viper,0.0,0.0,0.5084901560223679,0.002818018180520581,0.09666666666666668,0.0010873004286866693
low_confidence,no_defense,0.9906666666666667,0.0018856180831641283,0.0,0.0,0.0,0.0
low_confidence,viper,0.0,0.0,0.511074084036622,0.0006512216207794569,0.09566666666666666,0.0002494438257849304
single_vector,no_defense,0.018666666666666665,0.009428090415820633,0.0,0.0,0.0,0.0
single_vector,viper,0.014666666666666666,0.013199326582148887,0.001360544217687075,0.001924100084861354,0.09726666666666667,0.0009285592184789396
diverse_payload,no_defense,0.018666666666666665,0.009428090415820633,0.0,0.0,0.0,0.0
diverse_payload,viper,0.0,0.0,0.545622864947018,0.053393515456513614,0.08493333333333332,0.016928345722157522
